,x,y,hour,yday
328,28876.747841930523,-1438810.610436375,16,263
329,28766.035751632517,-1438860.8919499274,17,263
330,28751.19613096893,-1438904.7162131914,18,263
331,28761.4440320352,-1438904.9980459663,19,263
332,28809.78604930507,-1438877.8014030424,20,263
333,28779.17609489285,-1438839.6391871867,21,263
334,28743.196570103595,-1438878.615305377,22,263
335,28752.202846219985,-1438896.0855593535,23,263
336,28781.002290981658,-1438922.3925681694,0,264
337,28755.901276166343,-1438851.6311995878,1,264
338,28741.373996473023,-1438866.8059287078,2,264
339,28985.452482987672,-1439010.450596203,3,264
340,28962.101931766458,-1439027.010937547,4,264
341,28945.417057757728,-1439035.2124105636,5,264
342,28941.62997499093,-1439024.9958652377,6,264
343,28942.374631166873,-1439070.0100207182,7,264
344,28944.31202126094,-1439075.0243063313,8,264
345,28947.313453060207,-1439065.602509885,9,264
346,28953.44693126085,-1439096.4531846205,10,264
347,28919.11057951717,-1439149.0780739053,11,264
348,28900.743016215107,-1439169.8528749726,12,264
349,28888.98148784228,-1439168.6388382395,13,264
350,28915.8680256213,-1439191.66621678,14,264
351,28926.168022012796,-1439201.282212521,15,264
352,28963.64084779974,-1439285.8589883177,16,264
353,28893.232644108582,-1439287.2982555118,17,264
354,28937.726044599218,-1439360.4797187492,18,264
355,28982.40791599856,-1439362.369011455,19,264
356,28968.221928950024,-1439344.0870105422,20,264
357,28986.88718992956,-1439374.521928264,21,264
358,28919.931383628995,-1439487.5435184622,22,264
359,28933.217001203357,-1439504.772828403,23,264
360,28934.32728614228,-1439487.6969747264,0,265
361,28920.335236208368,-1439503.8104377866,1,265
362,28928.65892703321,-1439495.1786415745,2,265
363,28950.99368898549,-1439523.5467281858,3,265
364,28942.102755458684,-1439525.481234759,4,265
365,28923.16323987226,-1439525.6567606442,5,265
366,28967.530765102645,-1439567.2584326507,6,265
367,28964.41584172272,-1439580.0867300236,7,265
368,28986.59223336449,-1439550.6051406348,8,265
369,28970.75212478379,-1439552.1503635067,9,265
370,28968.831070993,-1439550.4813269298,10,265
371,28971.531229459506,-1439532.4832203973,11,265
372,28984.228631237645,-1439535.7929672522,12,265
373,29070.320956095744,-1439516.4457230747,13,265
374,29026.149283872663,-1439716.4719171496,14,265
375,29028.10514397104,-1439745.1290953527,15,265
376,29059.915736055624,-1439964.7471007868,16,265
377,29177.999145604826,-1440186.8261241964,17,265
378,29278.09382454719,-1440186.6511835132,18,265
379,29327.9632208971,-1440482.6023226508,19,265
380,29441.913979679557,-1440241.648627186,20,265
381,29509.623633387513,-1440654.7668442836,21,265
382,29319.42475203352,-1440497.251888529,22,265
383,29246.571659336943,-1440432.1115038604,23,265
384,29369.558731494904,-1440744.6008053299,0,266
385,29366.99731623987,-1440810.1600062223,1,266
386,29241.388709412182,-1440829.2404517704,2,266
387,29156.85506125228,-1440856.3179265289,3,266
388,29170.482729402174,-1440859.067715527,4,266
389,29165.730110056717,-1440857.034858298,5,266
390,28994.118225606777,-1441015.912343168,6,266
391,28979.996315026412,-1441017.444189397,7,266
392,28957.691660600158,-1441030.0002859463,8,266
393,28921.51952870238,-1441014.3641926553,9,266
394,28924.30336369736,-1440950.4560312585,10,266
395,28863.34914838031,-1440850.454213596,11,266
396,28834.030595234366,-1441004.2993587588,12,266
397,28930.791236707795,-1440888.4496533957,13,266
398,28932.18137633916,-1440905.4236677154,14,266
399,29057.94459128746,-1441378.246057331,15,266
400,28924.837457972735,-1441815.4432999992,16,266
401,28932.362643601875,-1441743.814445714,17,266
402,28972.521416915984,-1441732.100530598,18,266
403,29134.0188292684,-1440817.7026831915,19,266
404,29427.3408376363,-1440899.9109158325,20,266
405,29414.923166925342,-1440878.5505311303,21,266
406,29445.945821412697,-1440885.0391713486,22,266
407,29069.784867630973,-1441025.9888027476,23,266
408,29028.75329737206,-1441063.267954631,0,267
409,29029.188660459742,-1441119.3812362063,1,267
410,28983.04483149555,-1441354.47470621,2,267
411,29021.285888321774,-1441376.739060906,3,267
412,29134.147292250917,-1441203.777813382,4,267
413,29125.917045849073,-1441194.740173938,5,267
414,29770.420862806746,-1440716.0811524629,6,267
415,29774.44217020754,-1440788.1791290801,7,267
416,29778.130041472097,-1440861.1644192736,8,267
417,29771.704303302136,-1440929.595619842,9,267
418,29828.473744240677,-1441600.2603182294,10,267
419,29837.342471875807,-1441583.4564146472,11,267
420,30500.673498534714,-1441608.571669223,12,267
421,30574.23814328471,-1441508.8824392522,13,267
422,30593.314834599823,-1441279.2116619044,14,267
423,30830.145920520088,-1441109.1685566679,15,267
424,30648.099790551474,-1440865.802343272,16,267
425,30493.910889107607,-1440919.5807056609,17,267
426,30503.590006077673,-1440920.6792229372,18,267
427,30420.341786562705,-1440898.9079422979,19,267
428,30468.349966385722,-1440945.006906717,20,267
429,30403.95673003661,-1440978.682188865,21,267
430,30823.93843309529,-1440754.4108513002,22,267
431,30502.638031284096,-1440978.8853404722,23,267
432,30466.870482818696,-1440970.565897554,0,268
433,30452.767813527833,-1440931.6977872166,1,268
434,30487.733678264238,-1440973.817966718,2,268
435,30341.4967511259,-1440962.0266406739,3,268
436,29389.096436296113,-1441039.089155078,4,268
437,29467.803507626046,-1441158.0132095807,5,268
438,29491.903530842916,-1440882.599322359,6,268
439,29473.891995768416,-1440985.8517400415,7,268
440,29515.819379095607,-1441001.6989952368,8,268
441,29223.31114462911,-1440973.0100455391,9,268
442,28949.64223279982,-1440952.0670024438,10,268
443,29017.574641846648,-1440991.0185313628,11,268
444,28996.23185702191,-1441023.036882444,12,268
445,29095.01718912628,-1441091.35574964,13,268
446,28994.158299170507,-1441178.6272617695,14,268
447,28882.214222684423,-1441306.2261278946,15,268
448,28651.606514139454,-1441961.7690418286,16,268
449,28695.145043929115,-1442243.5356955926,17,268
450,28752.528196095685,-1442253.6671233857,18,268
451,28927.683532156174,-1442250.91106361,19,268
452,28982.070293312365,-1442263.8948088249,20,268
453,28785.287616388297,-1442659.1208174536,21,268
454,28590.1542740799,-1442806.3534234313,22,268
455,28591.96100364254,-1442822.7001971914,23,268
456,28801.326228122765,-1442824.6290562903,0,269
457,28871.666235592187,-1442919.832716067,1,269
458,28951.451293051898,-1442838.2393574757,2,269
459,28935.851752758594,-1442836.6542544991,3,269
460,28932.652758222863,-1442793.816050535,4,269
461,28865.35806394572,-1443225.2887110268,5,269
462,28881.36760632459,-1443250.106282662,6,269
463,28705.487968008747,-1443123.6004002942,7,269
464,28616.45331637003,-1443244.927855897,8,269
465,28524.37220755136,-1443284.5593143322,9,269
466,28577.025094483804,-1443212.4914045003,10,269
467,28173.47112395305,-1443281.875585971,11,269
468,28319.25390856996,-1443227.5961314836,12,269
469,28133.994638077857,-1443326.8855717713,13,269
470,28046.076942018633,-1443378.6131654119,14,269
471,27979.516654618943,-1443488.6697419516,15,269
472,28029.677550537326,-1443669.483534314,16,269
473,28004.416791602758,-1443627.38018271,17,269
474,28014.64604835272,-1443751.996015526,18,269
475,27631.344657725684,-1443906.918879172,19,269
476,27679.183473519686,-1443891.6933686738,20,269
477,27672.541796240243,-1443896.9675413517,21,269
478,27424.800386052488,-1444090.1880686132,22,269
479,27610.559353480916,-1443615.4351235107,23,269
480,27445.05421572004,-1443701.382481934,0,270
481,27472.000049280243,-1443695.3144459608,1,270
482,27566.41266242613,-1443697.0644825133,2,270
483,27475.71350983543,-1443971.2097019954,3,270
484,27410.362250539874,-1444010.6669316455,4,270
485,27385.371675200717,-1444134.850477574,5,270
486,27932.47140229899,-1444376.014661248,6,270
487,27968.04214106834,-1444380.2500420804,7,270
488,27912.32761378946,-1444286.2207534655,8,270
489,27811.356434971396,-1444481.9582148322,9,270
490,27918.26094123203,-1444440.2769479514,10,270
491,27753.11421926688,-1444957.6385786785,11,270
492,27720.18076620333,-1444801.7225660034,12,270
493,27699.23054530227,-1444863.2604783368,13,270
494,27901.566951243676,-1445891.7523090234,14,270
495,28046.651977773716,-1445717.1017418217,15,270
496,27714.804574809143,-1445660.078520944,16,270
497,27716.710245022183,-1445948.9122335408,17,270
498,27990.22641547509,-1445442.6459448505,18,270
499,28038.114610905926,-1445509.347443099,19,270
500,28059.869861812622,-1445505.3602088904,20,270
501,27913.29062177242,-1445503.6680892191,21,270
502,27950.265284150777,-1445710.1530376226,22,270
503,27728.26613273357,-1445688.733658678,23,270
504,27630.81825176798,-1445720.2311107325,0,271
505,27683.55097181669,-1445863.120590159,1,271
506,27493.089161095755,-1445830.3329739303,2,271
507,27509.22726905178,-1445835.429625898,3,271
508,27526.96041778002,-1445950.6887012003,4,271
509,27498.119988295257,-1445959.8505934582,5,271
510,27520.049274598612,-1446020.8964406366,6,271
511,27491.794611782112,-1446083.5004213024,7,271
512,27552.55439811799,-1446042.2530291323,8,271
513,27540.96570520235,-1446053.3091188879,9,271
514,27584.88051452262,-1446051.8761028305,10,271
515,27583.39422924147,-1445973.1432794735,11,271
516,27550.474374398174,-1446007.777476233,12,271
517,27571.70484677675,-1445873.2410133046,13,271
518,27740.772721360445,-1445938.2137120634,14,271
519,27748.147726033152,-1445990.0659007044,15,271
520,27686.838026036712,-1446065.2582511215,16,271
521,27955.540363859436,-1446223.3140611176,17,271
522,27979.195859285777,-1446239.1088265874,18,271
523,27975.693977331186,-1446265.5225029802,19,271
524,27891.362973628336,-1446240.3215292129,20,271
525,27916.736875991966,-1446252.6494056592,21,271
526,27864.492391421358,-1446111.9011830923,22,271
527,27318.40081234167,-1445764.7805217034,23,271
528,27282.513865236135,-1445692.1458698926,0,272
529,27262.1625233387,-1445631.6924435764,1,272
530,27285.81564199479,-1445619.6547774582,2,272
531,27265.795496284292,-1445697.1875719305,3,272
532,27362.030535073976,-1445772.358313544,4,272
533,27387.62505348829,-1445787.1263190955,5,272
534,27526.14397420291,-1445905.7556819555,6,272
535,27539.731253767644,-1445912.559618865,7,272
536,27689.202656709054,-1446063.0441568734,8,272
537,27679.953769801305,-1445963.8142280106,9,272
538,27803.079283275456,-1446236.380392391,10,272
539,27837.782634197865,-1446293.5759657063,11,272
540,27882.062726916723,-1446365.42612701,12,272
541,27742.52361910495,-1445252.4031884642,13,272
542,27598.66625139387,-1445051.2683849256,14,272
543,27609.131389882423,-1445074.9370364533,15,272
544,27665.627646593315,-1445096.0798542374,16,272
545,27623.060412165978,-1445238.6811279245,17,272
546,27584.291722733167,-1445474.882871807,18,272
547,27712.115578837882,-1445489.565788368,19,272
548,27645.751621106083,-1445621.5418680175,20,272
549,27695.585005388708,-1445448.8264380007,21,272
550,28167.43840196954,-1445561.7881068871,22,272
551,28182.260710553895,-1446028.002755107,23,272
552,28092.66125596874,-1446044.7997121084,0,273
553,28087.28933649463,-1446059.751639763,1,273
554,28071.432565493313,-1446054.561147508,2,273
555,28097.25262501174,-1445959.73821686,3,273
556,28090.80171678905,-1445943.908112173,4,273
557,28101.171295004908,-1446054.9787055596,5,273
558,28170.763236879833,-1446265.0154416354,6,273
559,27866.03118147626,-1446022.6091976212,7,273
560,27927.65866938176,-1446036.1627205343,8,273
561,27966.100387921415,-1446100.687283464,9,273
562,27929.237591169618,-1446269.2710144585,10,273
563,27796.033770707832,-1446825.0914702092,11,273
564,27783.593635882095,-1446787.113768884,12,273
565,27777.460579553845,-1446781.8140161003,13,273
566,27705.226430704726,-1446863.3429235811,14,273
567,27689.057983858307,-1446869.178000371,15,273
568,27732.9330337148,-1446889.6192988248,16,273
569,27723.43532753126,-1447020.318020564,17,273
570,27695.7907978618,-1447073.1129714746,18,273
571,27675.346554518757,-1447084.8716315506,19,273
572,27681.43633322838,-1447075.7402868106,20,273
573,27616.98632327109,-1447133.2615386874,21,273
574,27611.38847864778,-1447208.7515784635,22,273
575,27611.23630389589,-1447257.8994006,23,273
576,27607.05769525268,-1447258.4438860994,0,274
577,27597.334650697958,-1447270.0859313563,1,274
578,27550.442036919398,-1447280.0045099398,2,274
579,27556.400033707654,-1447312.9805850326,3,274
580,27272.93074765708,-1447431.4105021842,4,274
581,27307.53455060543,-1447523.5776402457,5,274
582,27265.948986781696,-1447557.753803422,6,274
583,27324.300571978005,-1447602.8930099865,7,274
584,27272.555288817053,-1447590.4354928029,8,274
585,27126.504333825484,-1447541.694648116,9,274
586,27382.727957042716,-1447668.161487617,10,274
